,title,year,genre,country,avg_vote,budget,worlwide_gross_income
38237,Foodfight!,2011,"Animation, Action, Adventure",USA,1.5,65000000,120141
42183,In My Sleep,2010,"Drama, Mystery, Thriller",USA,5.5,1000000,30158
43614,La preda perfetta,2014,"Action, Crime, Drama",USA,6.5,28000000,58834384
43822,Jurassic World,2015,"Action, Adventure, Sci-Fi",USA,7.0,150000000,1670401444
44487,I tre marmittoni,2012,"Comedy, Family",USA,5.1,30000000,54819301
44619,Motherless Brooklyn - I segreti di una città,2019,"Crime, Drama, Mystery",USA,6.8,26000000,18477736
45080,Rapunzel: L'intreccio della torre,2010,"Animation, Adventure, Comedy",USA,7.7,260000000,592461732
45218,John Carter,2012,"Action, Adventure, Sci-Fi",USA,6.6,250000000,284139100
46318,A cena con un cretino,2010,Comedy,USA,5.9,69000000,86855739
46673,Toy Story 3 - La grande fuga,2010,"Animation, Adventure, Comedy",USA,8.3,200000000,1066969703
47159,Il gatto con gli stivali,2011,"Animation, Adventure, Comedy",USA,6.6,130000000,554987477
47409,42 - La vera storia di una leggenda americana,2013,"Biography, Drama, Sport",USA,7.5,40000000,97470701
47505,The Equalizer - Il vendicatore,2014,"Action, Crime, Thriller",USA,7.2,55000000,192330738
47642,Captain America - Il primo Vendicatore,2011,"Action, Adventure, Sci-Fi",USA,6.9,140000000,370569774
47651,Sin City - Una donna per cui uccidere,2014,"Action, Crime, Thriller",USA,6.5,65000000,39407616
48032,Margaret,2011,Drama,USA,6.4,14000000,564864
48221,Tower Heist - Colpo ad alto livello,2011,"Action, Comedy, Crime",USA,6.2,75000000,152930623
48272,Professione assassino,2011,"Action, Thriller",USA,6.6,40000000,76130093
48303,Prince of Persia - Le sabbie del tempo,2010,"Action, Adventure, Fantasy",USA,6.6,200000000,336365676
48471,Unstoppable - Fuori controllo,2010,"Action, Thriller",USA,6.8,100000000,167805466
48483,"Molto forte, incredibilmente vicino",2011,"Adventure, Drama, Mystery",USA,6.9,40000000,55247881
48545,The Tree of Life,2011,"Drama, Fantasy",USA,6.8,32000000,58409247
48577,Ant-Man,2015,"Action, Adventure, Comedy",USA,7.3,130000000,519311965
48641,L'ultimo dei Templari,2011,"Action, Adventure, Fantasy",USA,5.4,40000000,91627228
48652,Atlas Shrugged: Part I,2011,"Drama, Mystery, Sci-Fi",USA,5.6,20000000,4627375
48672,Libera uscita,2011,"Comedy, Romance",USA,5.8,36000000,86157237
48704,I Croods,2013,"Animation, Action, Adventure",USA,7.2,135000000,587204668
48882,Red Tails,2012,"Action, Drama, History",USA,5.9,58000000,50365498
49100,Something Borrowed - L'amore non ha regole,2011,"Comedy, Drama, Romance",USA,5.9,35000000,65100369
49176,"CHIPS, (dis)ordine pubblico",2017,"Action, Comedy, Crime",USA,6.0,25000000,26800152
49198,Ramona and Beezus,2010,"Comedy, Drama, Family",USA,6.5,15000000,27293743
49360,The Ring 3,2017,"Drama, Horror, Mystery",USA,4.5,25000000,83080890
49474,Amore & altri rimedi,2010,"Comedy, Drama, Romance",USA,6.7,30000000,102820008
49523,Syrup,2013,"Comedy, Drama, Romance",USA,5.7,2500000,663
49528,Una bugia di troppo,2012,"Comedy, Drama",USA,5.9,40000000,24397992
49591,(S)ex list,2011,"Comedy, Romance",USA,6.1,20000000,30426096
49692,Drive,2011,"Crime, Drama",USA,7.8,15000000,76976666
49701,Kid Cannabis,2014,"Biography, Comedy, Crime",USA,6.4,5000000,5565
49718,Wolfman,2010,"Drama, Fantasy, Horror",USA,5.8,150000000,139789765
49759,Era mio figlio,2019,"Drama, War",USA,6.7,20000000,3364426
49790,Boxtrolls - Le scatole magiche,2014,"Animation, Adventure, Comedy",USA,6.8,60000000,108255770
49812,L'incredibile Burt Wonderstone,2013,Comedy,USA,5.9,30000000,27437881
49813,Dallas Buyers Club,2013,"Biography, Drama",USA,8.0,5000000,55736588
49826,Jack Reacher - La prova decisiva,2012,"Action, Thriller",USA,7.0,60000000,218340595
49827,R.I.P.D. - Poliziotti dall'aldilà,2013,"Action, Adventure, Comedy",USA,5.6,130000000,78324220
49891,Scary Movie 5,2013,"Comedy, Horror",USA,3.5,20000000,78378744
49969,Thor,2011,"Action, Adventure, Fantasy",USA,7.0,150000000,449326618
49997,Devil's Knot - Fino a prova contraria,2013,"Biography, Crime, Drama",USA,6.1,15000000,2033154
50000,5 giorni fuori,2010,"Comedy, Drama, Romance",USA,7.1,8000000,6491240
50162,Jack e Jill,2011,Comedy,USA,3.3,79000000,149673788
50258,Lei è troppo per me,2010,"Comedy, Romance",USA,6.4,20000000,49779728
50296,Il primo amore non si scorda mai,2010,"Comedy, Drama, Romance",USA,7.7,14000000,4225921
50299,Appuntamento con l'amore,2010,"Comedy, Romance",USA,5.7,52000000,216485654
50302,The Power of Few,2013,"Action, Crime, Drama",USA,5.2,4000000,45659
50309,Dreamkiller,2010,Thriller,USA,2.8,2500000,15514
50375,Priest,2011,"Action, Horror, Thriller",USA,5.7,60000000,78309505
50602,Hotel Transylvania,2012,"Animation, Comedy, Family",USA,7.1,85000000,358375603
50638,The Town,2010,"Crime, Drama, Thriller",USA,7.5,37000000,154026136
50773,The Avengers,2012,"Action, Adventure, Sci-Fi",USA,8.0,220000000,1518814206
50776,Epic - Il mondo segreto,2013,"Animation, Adventure, Family",USA,6.7,100000000,268426634
50877,Super Troopers 2,2018,"Comedy, Crime, Mystery",USA,6.0,13500000,31626386
50920,Mr. Peabody e Sherman,2014,"Animation, Adventure, Comedy",USA,6.8,145000000,275698039
51015,My Soul to Take - Il cacciatore di anime,2010,"Horror, Mystery, Thriller",USA,4.8,25000000,21500813
51023,Red State,2011,"Action, Crime, Horror",USA,6.2,4000000,1874460
51072,Please Give,2010,"Comedy, Drama",USA,6.6,3000000,4313829
51081,Mangia prega ama,2010,"Biography, Drama, Romance",USA,5.8,60000000,204594016
51141,Un testimone in affitto,2015,Comedy,USA,6.6,23000000,79799880
